"id","comment","group","active"
"1","I wish to visit here so much! :D","1","1"
"2","â¤ï¸ Beautiful â¤ï¸","1","1"
"3","ğŸ‘Œawesm","1","1"
"4","ğŸ‘Œawesome post ğŸ™Œ","1","1"
"5","ğŸ‘Œnice!","1","1"
"6","ğŸ˜ Gorgeous Trail! â¤ï¸","1","1"
"7","Absolutely amazing ğŸ˜ƒ","1","1"
"8","Amazed ğŸ™Œâ¤ï¸","1","1"
"9","Amazing â¤ï¸â¤ï¸","1","1"
"10","Amazing trail","1","1"
"11","Amazing trail, loved the story! â¤ï¸","1","1"
"12","awesme post ","1","1"
"13","Awesome","1","1"
"14","Awsm â¤ï¸","1","1"
"15","awsme post ğŸ™ŒğŸ™Œ","1","1"
"16","beatutiful photo ğŸ™Œ ","1","1"
"17","Beautiful capture","1","1"
"18","Beautiful Place!","1","1"
"19","Beautiful trail ğŸ‘ ğŸ‘","1","1"
"20","Beautiful! Waiting for the next post in series  ğŸ™ŒğŸ˜","1","1"
"21","beauty...â¤ï¸","1","1"
"22","Brilliant ğŸ‘Œ","1","1"
"23","Cool one ğŸ‘ŒğŸ‘Œ","1","1"
"24","Dope!","1","1"
"25","Eagerly waiting for the next post in the series! ğŸ™ŒğŸ™Œ","1","1"
"26","Fantastic  â¤ï¸ ","1","1"
"27","Fantastic Work  ğŸ‘","1","1"
"28","Gonna tryout this! ğŸ’•","1","1"
"29","Good ","1","1"
"30","Good Stuff! ğŸ‘","1","1"
"31","Gorgeous click â¤ï¸","1","1"
"32","Gorgeous click this one! â¤ï¸","1","1"
"33","Gorgeous trail ğŸ˜ğŸ˜","1","1"
"34","Gorgeous trail this one!","1","1"
"35","gr8 ğŸ‘","1","1"
"36","gr8 trail ğŸ‘Œ","1","1"
"37","Great ğŸ˜","1","1"
"38","Great one ","1","1"
"39","Great trail â¤ï¸","1","1"
"40","Heavenly ğŸ‘","1","1"
"41","Awesome post! :)","1","1"
"42","Incredible â¤ï¸","1","1"
"43","It's really amazing pictures ğŸ˜ ","1","1"
"44","its super wow pic â¤ï¸","1","1"
"45","Keep going ğŸ˜ğŸ‘","1","1"
"46","Keep posting your amazing trail ğŸ‘ŒğŸ‘Œ","1","1"
"47","Keep that coming â¤ï¸","1","1"
"48","Keep that goin ğŸ‘ğŸ‘","1","1"
"49","Keep those trails coming ","1","1"
"50","Keep trelling â¤ï¸â¤ï¸","1","1"
"51","liked your trail  â¤ï¸ğŸ˜","1","1"
"52","Looks amazing ğŸ‘ğŸ‘","1","1"
"53","looks awsm â¤ï¸â¤ï¸","1","1"
"54","Love dis","1","1"
"55","love this ","1","1"
"56","loved it â¤ï¸","1","1"
"57","Loved your trail â¤ï¸","1","1"
"58","Loved your trail, keep pushing!  ğŸ™ŒğŸ™Œ","1","1"
"59","Loved your trail, waiting for the next in series! ğŸ˜â¤ï¸","1","1"
"60","Lovely â¤ï¸","1","1"
"61","Lovely Trail ğŸ‘","1","1"
"62","luvd it..â¤ï¸â¤ï¸â¤ï¸â¤ï¸","1","1"
"63","Nice ğŸ‘Œ","1","1"
"64","Nice Foto ğŸ‘Œ","1","1"
"65","Nice one ","1","1"
"66","Nice one, Waiting for the next post in series  ğŸ™Œâ¤ï¸","1","1"
"67","Nice Place â¤ï¸","1","1"
"68","Nice shot! â¤ï¸","1","1"
"69","Nice Stuff!","1","1"
"70","Nice! Waiting for the next post in series  ğŸ˜","1","1"
"71","Nice..lovely!","1","1"
"72","Nyc shot â¤ï¸â¤ï¸â¤ï¸","1","1"
"73","Nyc..lovely ğŸ‘Œ","1","1"
"74","Oh my!! ğŸ‘","1","1"
"75","On my tryout list â¤ï¸","1","1"
"76","Outstanding One!","1","1"
"77","perfect â¤ï¸â¤ï¸","1","1"
"78","pretty â¤ï¸â¤ï¸","1","1"
"79","stunned!","1","1"
"80","Stunning ","1","1"
"81","This is cool! :)","1","1"
"82","This is lovely!","1","1"
"83","This is nice ğŸ‘ŒğŸ‘ŒğŸ‘Œ","1","1"
"84","This is so cool ğŸ‘Œ","1","1"
"85","this is so pretty! ","1","1"
"86","This is the place I wanted to go! ğŸ˜","1","1"
"87","This looks amazing â¤ï¸","1","1"
"88","This looks so amazing ğŸ‘","1","1"
"89","Waiting for the next post in series!  ğŸ˜ğŸ˜","1","1"
"90","Wanna tryout ğŸ™Œâ¤ï¸","1","1"
"91","Whoa! â¤ï¸","1","1"
"92","Whoa! ğŸ˜","1","1"
"93","Will Tryout â¤ï¸","1","1"
"94","Woah! ","1","1"
"95","Woah! Waiting for the next post in series  â¤ï¸ğŸ˜","1","1"
"96","Woww awesome! â¤ï¸â¤ï¸","1","1"
"97","Wow this looks so amazing ","1","1"
"98","Wow! ğŸ˜","1","1"
"99","wow..wonderful..","1","1"
"100","woww amazing â¤ï¸","1","1"
"101","wowww ğŸ˜","1","1"
"102","This trail has the best image of all times!","2","1"
"103","This is one of the best trails I've gone through to be honest!","2","1"
"104","Wow! this is simply an amazing trail!","2","1"
"105","This Trail made me contemplate about my next trip to the beaches! wonderful!","2","1"
"106","The images in your trail are so amazing and clear!","2","1"
"107","This is the best information I've got of this place!","2","1"
"108","Whoa! The images are crystal clear and so is the content!","2","1"
"109","Brilliant trail! what pictures!","2","1"
"110","Your trail is so encouraging! I almost want to set out of my house and adventure forth!","2","1"
"111","This trail got me searching for railway tickets! so inspiring!","2","1"
"112","The trail looks nothing less than a pro's work! excellent!","2","1"
"113","Your trail makes me believe that travel is the best investment! perfect!","2","1"
"114","This trail reminded me of my journey here, and it's absolutely novel!","2","1"
"115","Your image selection is excellent! good content too!","2","1"
"116","Your trail is detailed perfectly!","2","1"
"117","This trail is ingenious! brilliant work!","2","1"
"118","So inspiring! makes me wanna pack my rucksack and go to the mountains away from this monotonous life!","2","1"
"119","One needs to be a pro Traveller to create a detailed content as beautiful as this one!","2","1"
"120","The photographs and the content are beautifully amalgamated","2","1"
"121","Really cool! But I hope to see better content the next time :) ","2","1"
"122","Good luck with the next trails, cause this looks really nice and informative!","2","1"
"123","I'm in love the picture selection of this Trail! only if the content would've been a little detailed!","2","1"
"124","This Trail looks quite superb, you totally deserve more followers than this!","2","1"
"125","Your content is so good, wonder why the followers count is low!","2","1"
"126","The pictures are so cool, wish there would've been a little more follower !","2","1"
"127","This Trail is excellent and it definitely is worthy of more eyes!","2","1"
"128","This Trail instantly peaked my interest, it should definitely have more followers!","2","1"
"129","Both the image and the content of this Trail is so good, you really need more people to get to see this!","2","1"
"130","I'd definitely try to have more followers with trails this brilliant!","2","1"
"131","The trail is so niche, every Traveller would relate to it!wish there were more followers to view it!","2","1"
"132","I'd definitely watch this Trail more than once, there should definitely be more viewers to appreciate it!","2","1"
"133","Such a good Trail requires more appreciation, you should try and get more followers you know!","2","1"
"134","This Trail is so neat it got me thinking why so less of followers! they're so good!","2","1"
"135","So glad you shared this today!","2","1"
"136","Hey! Loved your trail !When are you posting your next one?","2","1"
"137","You've had some awesome adventures! What's the next one?","2","1"
"138","Really cool pictures!!! Any more on the way?","2","1"
"139","Your trails are amazing, i think video would bring greater stories and experiences","3","1"
"140","love your trails, I'm planning to make one with video, do you have any tips?","3","1"
"141","Awesome pictures, could you also share some videos of the placce?","3","1"
"142","Your trail reminded me of an old book i'd read, maybe you could share some videos of the place","3","1"
"143","I would love to see your videos of this place!","3","1"
"144","As a person who is going to have to wait a long time to go here...could you share some videos of the place","3","1"
"145","Looks like a fun place! I think I might visit and shoot some vlogs there!!","3","1"
"146","Amazing trail, photos are so great, i wonder how the video might look, could you share some?","3","1"
"147","Awesome photos,videos would help describe those beautiful places i guess","3","1"
"148","Amazing trail, could share some videos of the same","3","1"
"149","The images are so good, but I kind of lost my way in the middle of the content!","3","1"
"150","The content and the images don't sit well with one another!","3","1"
"151","The trail name got me all interested but the content got me a little mixed up!","3","1"
"152","The trail name and the images are so vivid and interesting, I wish the content would be a little more clear!","3","1"
"153","The content got me a little puzzled, is the information up to the mark?  ","3","1"
"154","This is such good Trail with cool images, wish the content could give a little more clarity!","3","1"
"155","The content digresses a little, the pictures are so good but!","3","1"
"156","Must appreciate your photography skills, but you lost me with the content bit. ","3","1"
"157","I have been wanting to go here! The pictures makes me want to go there but your content is a little tricky.","3","1"
"158","The pictures are just awesome, I wish the description was little more detailed","3","1"
"159","OMG! yeh mera India","4","1"
"160","masttt!!","4","1"
"161","Mast ekdum","4","1"
"162","Sahi hai yeh toh bc","4","0"
"163","Lajavaab","4","1"
"164","Maa kaasam! maza aa gaya","4","1"
"165","Sahi khel gaye tum toh","4","1"
"166","Subahnaalah!","4","1"
"167","Chal yaha jaate hai, chal waha jaate hai :D","4","1"
"168","Amazing content â¤ï¸â¤ï¸","4","1"
"169","Tum ho bemissal, kya trail hai ekdum","4","1"
"170","Sahi banaya he !!","4","1"
"171","mast content h","4","1"
"172","Kya edit he.. mastt ekdum.","4","1"
"173","Super se bhi uper!","4","1"
"174","Sahi khel gaye tum toh :P","4","1"
"175","Kya mast hai bhai","4","1"
"176","Jhakaas ekdum","4","1"
"177","badhiya!","4","1"
"178","Yeh picture toh blockbuster hai ekdum :D","4","1"
"179","Chaa gaye tum toh","4","1"
"180","Dekhne mein mast lag rahi hai yeh jagah","4","1"
"181","Atti Sundar!","4","1"
"182","aapke pass shabdo ko istemal karne ki kala hai","4","1"
"183","Lage Raho Launde! Mast kaam kar rahe ho","4","1"
"184","Dum hai bhai!","4","1"
"185","When's your next update?!","5","1"
"186","Hoping for another awesome adventure soon!","5","1"
"187","Well that was a very ineteresting trail do you have more stories to tell","5","1"
"188","Could you share more stories through another story, it seems very interesting","5","1"
"189","can't wait to read about your next adventure","5","1"
"190","you're really good at this story telling you must share morer of your adventures","5","1"
"191","that's really cool experience, do you have more such? you should really share them","5","1"
"192","i had the same experience here! where else have you been? maybe you could talk about it","5","1"
"193","i'm so trying this sometime, do you have more experiences?","5","1"
"194","you have travelled so much, i'm waiting to hear more stories","5","1"
"195","thank you! i have so much on my bucket list now.. do you have more such experience to share?","5","1"
"196","loved your stories! wondering what your next trail would be?","5","1"
"197","I love the way you've described your stories, when will you post next trail ","5","1"
"198","much appreciation to your work, could you share moretrails with your stories!","5","1"
"199","amazing stories! when can i read your next adventure?","5","1"
"200","I too had been to the same place, such an amazing experience! where are oyu off to next?","5","1"
"201","i love the way you travel, when are posting more our your stories?","5","1"
"202","i love your trails,Where to next? ","5","1"
"203","Hey thats so informative and amazing, could you give more details?","6","1"
"204","i love your work and i use it to plan my trips :)","6","1"
"205","Hey the trail is amazing, could you give some info?","6","1"
"206","Your stories are truely travel goals, how do you plan them?","6","1"
"207","Hey what time of the year is best to visit this place?","6","1"
"208","The photos are just so cool, what camera do you use?","6","1"
"209","Awespme trail! could you give some suggestions on trekking paces around (place name)","6","1"
"210","I just loved the trail, do you have any suggestions on what camera is best for backpacking?","6","1"
"211","I am so trying this out soon, do you have any suggestions or tips?","6","1"
"212","I too am a backpacker like you, do you have any insights on cheap travel?","6","1"
"213","i love your trail, do you think this time of the year is apt to visit this place?","6","1"
"214","Hey I am learning photography, and your trail has amazing pictures, do you have any suggestions to improve photography skills/","6","1"
"215","Wow! Thats amazing that you covered so much in so less budget!","6","1"
"216","Hey awesome experience, do you have any tips on camping in that area?","6","1"
"217","Awesome! I too am heading there next week","6","1"
"218","Hey! I loved your images but I didn't understand exactly how you felt going there. Some additional information would be great :D ","7","1"
"219","Looks like you've travelled a lot. I am also planning a trip for myself now, When would be the best time to visit according to you??","7","1"
"220","This trail looks really nice, but I wish there could be more information about it!","7","1"
"221","The images are so cool! I wish there could be nice information about the place as well!","7","1"
"222","I have been to this place and I can totally relate to the pictures, but I'd definitely put more details with it :)","7","1"
"223","I myself have been to this place and your pictures brought back such good memories! How brilliant!","7","1"
"224","Hey, your pictures are so good! I wonder how to take the alternate route though. ","7","1"
"225","The pictures are so vivid it almost makes me want to visit there myself, but there's no details to it! wish to see some the next time!","7","1"
"226","The second picture just took my mind off my textbooks, wish I could read about your experience here","7","1"
"227","The timings in your pictures are perfect, but I wish I could know a little more about the place!","7","1"
"228","This is one of most creative trails in terms of images, wish I could read something about the place too! ","7","1"
"229","Your pictures truely inspire me to travel to this place, but your content is too less to say how :(","7","1"
"230","Picture on point! It'd be amazing to get more information on the routes that you followed!","7","1"
"231","Your pictures reminded me of my childhood trip to this exact place, I wish there was more information...just to relive those days!","7","1"
"232","Wow! The pictures came so clear, the place must be amazing! what about the loopholes of the place though?","7","1"
"233","The title is so amazing, but the trail didn't look very promising :( ","8","1"
"234","The title is superbly framed, wish the content could be a little more elaborate!","8","1"
"235","Hey, the title totally caught my attention,the image quality could be a little better though!","8","1"
"236","This is one of the catchiest title I've come across, wish there was more information to read!","8","1"
"237","The title drew my attention at once, wish the information could be a little more detailed!","8","1"
"238","Wow! that's such a cool title! but the images were so blurry!","8","1"
"239","I came across this trail in such a hurry, and it was all cause the catchy title! ","8","1"
"240","The title was superb! The content was a little dreary!","8","1"
"241","The title took me further to your Trell, but I lost interest midway because there was no content.","8","1"
"242","The title took me by surprise, but I kind of lost track of the routes in the content!","8","1"
"243","The title was so quirky it truely encouraged me to go through your Trail in details! great!","8","1"
"244","The title was so rad! cool stuff really!","8","1"
"245","Hey, the title is so innovative!","8","1"
"246","I love the wordplay in your title!","8","1"
"247","Your title is my new catchphrase!","8","1"
"248","The trail looks so amazing, just wish it would be a little more innovative!","9","1"
"249","This trail enticed me enough to go through it bit by bit, wish you good luck with the other ones too!","9","1"
"250","The pictures are so amazing, even the content! But the title could be a little more relevant you know :)","9","1"
"251","The pictures are crystal clear, wish they could relate better to the content!","9","1"
"252","Any traveller would be enthused to set out on a journey after going through your trail, so it'd be great if you could provide more details about the routes!","9","1"
"253","I have been to this place, and your pictures couldn't have done more justice to it!","9","1"
"254","You look like a true traveller from your pictures, it is so refreshing!","9","1"
"255","The pictures look as real as the place itself! That itself is so amazing!","9","1"
"256","The content of the trail is so interesting! This is perfect to enthused a traveller!","9","1"
"257","I've always been wanting to visit this place, but sadly due to lack of holidays, I was missing out on all the fun! This trail means so much to me!","9","1"
"258","I've patiently gone through each and every picture, and all of them are praiseworthy!","9","1"
"259","The pictures are just like that of the travel bloggers that I come across! Amazing for a beginner I would say!","9","1"
"260","Every single line of every single post took me to the next one! so interesting!","9","1"
"261","I just decided to utilize my money fixed in an account for this route, yes your trail inspired me that much!","9","1"
"262","Your Trail could go from average to wow just by the use of some good quality images, the content is so informative!","9","1"
"263","The content is brilliant really, wish I could say the same for the pictures and the videos!","9","1"
"264","The images are so good, I coaxed my sister into going through the trail!","9","1"
"265","The content is inspiring beyond words, but wish the images could be a less blurry!","9","1"
"266","I really hope to see better images in your trails, your content has so much potential!","9","1"
"267","This Trail has such a good topic, a few more good videos and images and it could be a beautiful travelogue!","9","1"
"268","The images are absolutely surrealistic! I do wish the content would be as crisp!","9","1"
